Date,Open,High,Low,Close,Volume
2018-01-02,195.77595417809658,197.0426186209388,194.8724508487753,195.89996337890625,3485000.0
2018-01-03,196.30742794113226,198.2472968876591,195.33307373914394,197.95498657226562,2417600.0
2018-01-04,198.7167264532884,200.2757145287988,198.56614483526525,198.8141632080078,2749100.0
2018-01-05,199.46964759066836,202.8887734537134,199.05332814111716,202.60531616210938,2432800.0
2018-01-08,202.07387643574125,202.58763269678747,198.95591346207655,199.08877563476562,2850800.0
2018-01-09,199.08875405727176,200.74517888787486,197.79551732996381,200.08084106445312,2672200.0
2018-01-10,199.15077578700522,199.31021038526114,197.55636222450426,198.5927276611328,2311600.0
2018-01-11,198.5750156700315,200.1162844244234,198.1498432093674,199.64682006835938,2543600.0
2018-01-12,201.47150420099757,203.64167160954025,200.64773182992917,202.5255889892578,3943800.0
2018-01-16,206.71536121559726,208.1591931356544,204.8375038834897,206.29904174804688,6852600.0
2018-01-17,207.86693616947505,211.6669572174651,207.14060029503815,211.19747924804688,5124800.0
2018-01-18,211.93262684734893,216.0426631333783,211.30372791911805,215.38719177246094,6234200.0
2018-01-19,216.29070019708539,216.44129534996674,213.53592532007374,215.55551147460938,4293600.0
2018-01-22,215.768073287298,215.9540938329269,213.79277919146585,215.7415008544922,4012200.0
2018-01-23,215.23657737319007,218.77084554218885,214.72282122617065,217.20301818847656,3300000.0
2018-01-24,217.91170013826624,219.0632219524973,215.8744079084615,216.8842010498047,2733300.0
2018-01-25,216.79555688109298,218.07108754991748,216.0426353425271,217.1764373779297,2420500.0
2018-01-26,217.01702742553456,220.3298636487249,216.5387101284477,220.0906982421875,2615300.0
2018-01-29,220.80814447847587,222.14567290779175,219.14286691181545,219.1517333984375,2564700.0
2018-01-30,206.2813173818295,215.01514541619622,205.59040716035926,209.62071228027344,11565500.0
2018-01-31,215.10374889743898,218.78861299166223,208.83239755899817,209.73590087890625,5187400.0
2018-02-01,208.3894750847201,210.6570927829304,207.12281084073877,208.3540496826172,4268300.0
2018-02-02,206.3876117955675,209.31070084608416,204.78434538580797,205.39553833007812,3959900.0
2018-02-05,204.43000159012269,206.4850261352776,184.66817062232832,194.89012145996094,6290000.0
2018-02-06,187.96331524259722,200.63887896036113,186.2006141722256,199.46078491210938,7064800.0
2018-02-07,196.93628949826962,203.10133641417934,196.20994038450604,200.02767944335938,5589200.0
2018-02-08,199.59362109525105,200.74514248355584,191.5595573199417,191.73672485351562,4902400.0
2018-02-09,193.1008977037581,197.7778357962213,187.79504707082037,195.7228240966797,6225300.0
2018-02-12,197.03373943473088,201.95869492022754,196.77685457837939,199.91253662109375,4912000.0
2018-02-13,197.6626531945587,201.17921602643506,196.98946235994828,200.75404357910156,3536800.0
2018-02-14,199.2570439187463,203.1456338856433,198.3446877738834,202.64959716796875,2878400.0
